country,description,price,province,title,variety,winery
Ukraine,"This pale lemon sparkling wine has aromas of citrus flowers, brioche and yeast in the bouquet. It is slightly sweet on the palate with flavors of green apple, peach and sweet lime juice.",10.0,Ukraine,Marengo NV Semi-Dry Sparkling (Ukraine),Sparkling Blend,Marengo
Slovenia,"This sweet wine is nut brown in color, with aromas of dried prunes, caramelized pears and raisins. The palate is driven by sweet, dried fruit tones, balanced by bright acidity.",60.0,Vipavska Dolina,Batič 2007 Valentino Sweet Red Merlot-Cabernet Franc (Vipavska Dolina),Merlot-Cabernet Franc,Batič
Slovenia,"This 100% Ribolla Gialla has aromas of green apple and apple cider. There's nice minerality in the mouth with flavors of apple pie, apple cider and a touch of creaminess. The finish is pleasantly bright.",27.0,Goriska Brda,Ferdinand 2013 Rebula Época Ribolla Gialla (Goriska Brda),Ribolla Gialla,Ferdinand
Slovenia,"Aromas of honeysuckle, yellow canned peach and wet slate lead to flavors of grapefruit peel, citrus blossom and lemon zest in the mouth. The finish is crisp and zippy.",22.0,Goriska Brda,Ferdinand 2014 Rebula Ribolla Gialla (Goriska Brda),Ribolla Gialla,Ferdinand
Macedonia,"This 100% Vranec presents the nose with black plum, blackberry, tobacco leaf and saddle leather and the palate with blueberry, dried herbs, tobacco and red plums. The finish is soft and elegant.",20.0,Tikves,Stobi 2011 Veritas Vranec (Tikves),Vranec,Stobi
Macedonia,"Made from 100% Vranec, this wine has aromas of sour cherry, black plum and black pepper. It is full bodied with flavors of tart cherry, blackberry, and leather.",15.0,Tikves,Stobi 2013 Vranec (Tikves),Vranec,Stobi
Slovenia,"This Slovenian Sauvignon Blanc has aromas of lemon grass and freshly mowed lawn. It is sharp on entry with flavors of lime juice, orange zest and grapefruit before the bright acidic finish.",31.0,Štajerska,Ciringa 2011 Fosilni Breg Reserve Sauvignon Blanc (Štajerska),Sauvignon Blanc,Ciringa
Serbia,"White flowers, eucalyptus and a slight whiff of petrol greet the nose. In the mouth, it is all about green olive, white peach and green apple. The finish is soft and elegant.",20.0,Župa,Budimir 2009 Margus Margi Riesling (Župa),Riesling,Budimir
Serbia,"This 100% Tamjanika from Serbia has gooseberry, mango and white flowers leading the nose. Following that, it is soft on entry with flavors of pronounced florality, white peach and yellow peach.",18.0,Župa,Budimir 2013 Župska Tamjanika (Župa),Tamjanika,Budimir
Macedonia,"Lemon zest and peppermint are the scents associated with this 100% Rkatsiteli. It's bright on entry, tasting of lemon peel and grapefruit pith.",15.0,Tikves,Stobi 2014 Rkatsiteli (Tikves),Rkatsiteli,Stobi
Bulgaria,"Though pleasant aromatically with lots of freshly cut grass and gooseberry notes, this full-bodied, dry Bulgarian Sauvignon Blanc has a dense, clunky mouthfeel and a bracingly high acidity. There's some decent lemon and grapefruit flavors, but plenty of tinned green asparagus as well.",9.0,Bulgaria,Targovishte 2009 Sauvignon Blanc (Bulgaria),Sauvignon Blanc,Targovishte
Croatia,"Ripe melon and subtle white flowers meld with fresh apple and pear on the nose and palate of this lovely Malvasia from Ivica Matoevi´c. Quite voluptuous in style with a silky, slightly oily mouthfeel, the palate is bright with sweet stone fruit and a pleasantly bitter almond note that lingers on the finish.",20.0,Istria,Matošević 2009 Alba Malvasia (Istria),Malvasia,Matošević
Slovenia,"This is pale blush colored, with aromas of rose petal, jasmine blossom and fresh picked strawberry that continue seamlessly onto the palate. It's got a great strawberry zing on the finish, with bright, balanced acidity.",15.0,Štajerska,Pullus 2012 Dry White Pinot Grigio (Štajerska),Pinot Grigio,Pullus
Bulgaria,"Crisp yet slightly tart in the mouth, this wine exhibits pleasant flavors of Granny Smith apple, lemon custard, and fresh white peach.",9.0,Thracian Valley,Vini 2015 Veni Vidi Vici Sauvignon Blanc (Thracian Valley),Sauvignon Blanc,Vini
Croatia,"Pronounced aromas of charred wood are imposing on the nose, but intense black fruit shines through on the palate, taming char into a more palatable blend of rich blackberry preserves, smoke and barnyard. The long finish ends with supple tannins and a touch of vanilla and mocha-kissed fruit.",22.0,North Dalmatia,Piližota 2007 Babić Red (North Dalmatia),Red Blend,Piližota
Croatia,"Produced by a talented winemaker in the Kutjevo region, it has brilliant ruby color plus enticing aromas of purple violets, lavender and freshly picked red cherries. There's great mouthfeel, artfully woven flavors of red berries and black plums, and chalky tannins.",25.0,Kutjevo,Enjingi 2009 Barrique Zweigelt (Kutjevo),Zweigelt,Enjingi
Bulgaria,"Comprised of 60% Merlot, 30% Cabernet Sauvignon, 5% Rubin, and 5% Mavrud, it offers aromas of blackberry, cherry vanilla and cinnamon. In the mouth are generous flavors of black cherry, black plum and tart cranberry. Saddle leather and tobacco leaf linger in the persistent finish.",14.0,Thracian Valley,Bulgariana 2008 Imperial Red (Thracian Valley),Red Blend,Bulgariana
Bulgaria,"This deep garnet Kosher blend of 55% Rubin and 45% Merlot is scented with black plum, blackberry and freshly ground black pepper. It flavors are those of dried cranberries and tart cherry. It has balanced tannins with a pleasantly tart finish.",20.0,Thracian Valley,Castra Rubra 2010 Pendar Red (Thracian Valley),Red Blend,Castra Rubra
Slovenia,"This blend of 40% Furmint, 40% Pinot Gris and 20% Riesling has aromas of pineapple, lychee fruit and fresh herbs. It's thin and racy in the mouth with flavors of mango, apple and guava.",18.0,Štajerska,Dveri-Pax 2014 Yanez White (Štajerska),White Blend,Dveri-Pax
Bulgaria,"This blend of 45% Cabernet Sauvignon, 35% Merlot and 20% Mavrud has aromas of dried cranberries and ripe red raspberry. It is full bodied in the mouth with flavors of ripe black plum and pleasantly chewy tannins.",16.0,Thracian Valley,Castra Rubra 2011 Motley Cock Red (Thracian Valley),Red Blend,Castra Rubra
Croatia,"Aromas of dried black cherry, saddle leather and freshly picked mush lead the bouquet, while flavors of black plum, cranberry juice and cherry cola flesh out the palate. Smooth tannins add balance and roundness to the finish.",27.0,Hvar,Zlatan Otok 2010 Vinogorje Hvar Sveta Nedjelja Plavac Mali (Hvar),Plavac Mali,Zlatan Otok
Bulgaria,"Ruby red with garnet hues in color, this easy-drinking Merlot brings aromas of cherry, black berry and black raspberry on the nose. Tones of black plum and black cherry are ripe and persistent on the finish.",9.0,Thracian Valley,Vini 2013 Veni Vidi Vici Merlot (Thracian Valley),Merlot,Vini
Slovenia,"This salmon-colored rosé suggests aromas of powdered sugar, red raspberry and dried herbs. It is soft on the entry with a touch of sweetness and flavors of Red Delicious apple, Turkish delight and marzipan.",24.0,Goriska Brda,Erzetič 2013 Damski Rosé (Goriska Brda),Rosé,Erzetič
Bulgaria,"This Bulgarian Chardonnay has aromas of lemon curd, custard apple, mango and lemon blossom. It is soft and round in the mouth with pleasant acidity and has flavors of guava, green apple, mango and white peach.",12.0,Thracian Valley,K Cellars 2015 Chardonnay (Thracian Valley),Chardonnay,K Cellars
Ukraine,"This medium-bodied rosé has aromas of strawberries and rose petals, and flavors of cherry, strawberry and tart cherry. The finish is clean, with a slight touch of residual sweetness on the palate.",6.0,Ukraine,Côtnar Hills 2014 Semi-Dry Rosé (Ukraine),Rosé,Côtnar Hills
Bulgaria,"A heady aroma of cherry, coffee and clove with a whiff of mint paves the way for luscious flavors of raspberry, pomegranate and eucalyptus. This wine is silky in the mouth, with a fleeting impression of pomegranate and mint at the soft finish.",15.0,Thracian Valley,Bessa 2009 Enira Red (Thracian Valley),Red Blend,Bessa
Bulgaria,"A strong nose of mint and eucalyptus with just a hint of cherry belies a fruit-driven palate dominated by cherry, cranberry sauce and strawberry. Plush tannins coat the mouth, with cooling herbs re-emerging on the finish.",24.0,Thracian Valley,Bessa 2009 Enira Reserva Red (Thracian Valley),Red Blend,Bessa
Bulgaria,"This wine features aromas of raspberry and black currants with touches of coffee and bacon. Luxurious flavors of ripe black plum, black cherry, espresso and pipe tobacco wash over the taste buds in a web of velvety tannins, culminating in a vivid finish.",14.0,Thracian Valley,Bulgariana 2011 Cabernet Sauvignon-Syrah (Thracian Valley),Cabernet Sauvignon-Syrah,Bulgariana
Bulgaria,"Deep ruby in the glass, this wine has a bouquet of black cherry, raspberry, saddle leather and vanilla. It offers flavors of blackberry, black plum and fresh forest mushroom suspended in a cloud-like structure of silky tannins.",14.0,Danube River Plains,Chateau Burgozone 2012 Cabernet Sauvignon (Danube River Plains),Cabernet Sauvignon,Chateau Burgozone
Bulgaria,"Dark ruby in the glass, this Pinot Noir from Bulgaria's Danube Plain entices the palate with the aroma of fresh-from-the-oven cherry pie. Flavors of cherry and vanilla with soft undertones of baking spices wash over the tongue, with pleasing notes of candied orange peel on the finish.",14.0,Danube River Plains,Chateau Burgozone 2012 Pinot Noir (Danube River Plains),Pinot Noir,Chateau Burgozone
Croatia,"Fresh and fragrant, this offers notes of apple, vanilla spice and lemon rind on the nose and palate. The palate of this Croatian white feels surprisingly voluptuous. Dry in style, with penetrating fruit flavors, this has lavish minerality on the midpalate that lends the finish a brisk, crisp feel.",28.0,Korčula,Grgić Vina 2010 Posip (Korčula),Posip,Grgić Vina
Bulgaria,"Deep ruby in color, this wine offers aromas of cherry, blackberry and tobacco. Generous and round in the mouth, it has flavors of black cherry and pipe tobacco with an evenly weighted balance of velvety tannins and bright acidity.",55.0,Thracian Valley,Bessa 2011 Grande Cuvée Red (Thracian Valley),Red Blend,Bessa
Bulgaria,"Pale straw in the glass, this wine has a nose of pineapple and lemon blossom with a strong dose of vanilla. It is round and full in the mouth, with rich flavors of green apple, guava and tropical fruits with a slight hint of toast that carry on through the long-lasting finish.",23.0,Danube River Plains,Chateau Burgozone 2012 Collection Chardonnay (Danube River Plains),Chardonnay,Chateau Burgozone
Bulgaria,"A blend of Cabernet Sauvignon, Syrah and Regent, this garnet-colored wine has aromas of cherry vanilla, eucalyptus and tobacco leaf. Flavors of mocha and blackberry lead to a balanced finish.",16.0,Thracian Valley,F2F 2014 Red (Thracian Valley),Red Blend,F2F
Bulgaria,"This rosé, made from Pinot Noir and Syrah, is brilliant pink in color, with aromas of strawberry and cream. The silky palate shows pronounced red cherry and vanilla flavors.",9.0,Thracian Valley,Vini 2013 Veni Vidi Vici Pinot Noir-Syrah Rosé (Thracian Valley),Rosé,Vini
Bulgaria,"This wine is ruby red in color, with aromas of black fruits and berries. The palate shows additional notes of tart black plums, fringed by soft tannins on the finish.",9.0,Thracian Valley,Vini 2013 Veni Vidi Vici Cabernet Sauvignon (Thracian Valley),Cabernet Sauvignon,Vini
Bulgaria,"Ruby in color, this Cabernet Sauvignon has black cherry and black plum aromas and vanilla, cherry and black plum flavors. The finish has a touch of tartness.",13.0,Thracian Valley,Manastira 2013 Just Young Cabernet Sauvignon (Thracian Valley),Cabernet Sauvignon,Manastira
Croatia,"High-toned, red cherry fruit aromas on this bold, full-bodied Croatian Pinot transition nicely to a deeply concentrated black fruit palate sprinkled with cocoa and vanilla notes. The texture is lush overall, but grape tannins feel harsh and grippy on the finish.",13.0,Podunavlje,Podrumi Belje 2008 Pinot Noir (Podunavlje),Pinot Noir,Podrumi Belje
Croatia,"Grapey on the nose with veins of bramble and black tea leaves, this Blaufränkish (Lemberger in Germany) is fairly tannic on entry but softens considerably with aeration. Give it some time, and it reveals a far more elegant profile with fresh black cherry fruit laced with a rustic, autumn leaf note and lively acidity.",13.0,Podunavlje,Iločki Podrumi 2009 Blaufränkisch (Podunavlje),Blaufränkisch,Iločki Podrumi
Croatia,"Floral and fruity up front with sweet lychee, stonefruit and jasmine flower notes, this is a refreshing wine with zesty acidity and a clean, grassy midpalate that's just a bit short on concentration.",13.0,Kutjevo,Enjingi 2009 Graševina Welschriesling (Kutjevo),Welschriesling,Enjingi
Slovenia,"Fragrant of freshly cut grass, honeydew melon and orange blossoms, this dry, medium-bodied Sauvignon Blanc from Slovenia has pleasant grapefruit and lemon flavors and a racy, zippy acidity that tingles on the tongue. It's a simple but refreshing wine with a lime zest and smoke finish.",20.0,Štajerska,Verus Vineyards 2009 Sauvignon Blanc (Štajerska),Sauvignon Blanc,Verus Vineyards
Macedonia,"This Macedonian wine made from 100% Žilavka has aromas of honeysuckle and peach. Balanced in the mouth, it has flavors of green papaya and tart pineapple.",15.0,Tikves,Stobi 2014 Žilavka (Tikves),Žilavka,Stobi
Slovenia,"Like all of Movia's red wines, the Modri Ceglo is herbaceous on the nose and palate, with hints of menthol and bramble adding complexity to the crisp red-fruit flavors. The palate is ripe, silken and elegantly structured, with brisk acidity and whispers of graphite, soy and brine that linger long on the finish.",40.0,Brda,Movia 2007 Modri Ceglo Pinot Noir (Brda),Pinot Noir,Movia
Croatia,"This is one unabashedly bold, brawny wine that's full of rich red fruit and milk chocolate. Bright herbal and floral tones add an unusual freshness to this Croatian Plavac Mali. Intense, penetrating tannins frame the long, mocha-flavored finish.",38.0,Dingač,Grgić Vina 2008 Plavac Mali (Dingač),Plavac Mali,Grgić Vina
Serbia,"This Serbian 100% Portuguiser offers scents of dried cherry, dried herbs and fresh tarragon, and follows up with tastes of red plum and dried strawberry.",15.0,Fruška Gora,Agrina 2014 Portuguiser (Fruška Gora),Portuguiser,Agrina
Slovenia,"This deep garnet colored wine offers aromas of dried cherry, black raspberry and smoked sausage. It has an interesting balance of fruity and savory characteristics among raspberry, saddle leather and spicy tobacco flavors.",44.0,Goriska Brda,Erzetič 2009 Amfora Cabernet Sauvignon (Goriska Brda),Cabernet Sauvignon,Erzetič
Slovenia,"Aromas of blackberry, farmstand, leather and smoked meats prime the taste buds for a wine whose flavors of cassis, smoked meat, leather and tobacco may be an acquired taste for some drinkers. This wine is pleasant overall, but the sophisticated taste profile may not be to everyone's liking.",44.0,Goriska Brda,Erzetič 2009 Amfora Rdece Cabernet Sauvignon-Merlot (Goriska Brda),Cabernet Sauvignon-Merlot,Erzetič
Bulgaria,"Easygoing and not too complex this straightforward Cabernet Sauvignon offers aromas and flavors of red cherry, plum and black currant. The finish is medium length with persistent soft tannins.",9.0,Thracian Valley,Vini 2015 Veni Vidi Vici Cabernet Sauvignon (Thracian Valley),Cabernet Sauvignon,Vini
Slovenia,"Aromas of lemon meringue pie, lemon grass and caramelized pineapple open to flavors of wet river rocks, lemon zest and lime pith. Bright finish with strong minerality.",22.0,Štajerska,Ciringa 2013 Fosilni Breg Sauvignon Blanc (Štajerska),Sauvignon Blanc,Ciringa
Slovenia,"This blend of 70% Blaufränkisch, 20% Pinot Noir and 10% Zweigelt has aromas of cranberry, pomegranate and dried cherry with flavors of blackberry and red raspberry. There's a pleasant touch of spicy black pepper in the finish.",20.0,Štajerska,Dveri-Pax 2011 Benedict Cuvée Red (Štajerska),Red Blend,Dveri-Pax
Croatia,"Though aromatically subdued, there's an intensity of tangerine and lime zest flavor in this dry, invigorating Malvasia. The midpalate is marked by elegant white-flower notes that linger on the slightly astringent lime-pith finish.",16.0,Istria,Bastianich 2010 Adriatico Malvasia Istriana (Istria),Malvasia Istriana,Bastianich
Slovenia,"A musky white-flower note melds into savory notes of hazelnut oil and nut skin on the nose and palate of this smoky, rather mysterious wine. Tart with tangerine acidity, it's refreshingly brisk but finishes long with a hint of smoky vanilla.",30.0,Goriska Brda,Valter Sirk 2010 Malvazija Malvasia Istriana (Goriska Brda),Malvasia Istriana,Valter Sirk
Bulgaria,"This Cabernet Sauvignon has aromas of black plum, violet and vanilla that pave the way for bright flavors of red plum and blackberry on the palate. The tannins are a bit chewy, but the long finish is rewarding.",9.0,Thracian Valley,Vini 2012 Veni Vidi Vici Cabernet Sauvignon (Thracian Valley),Cabernet Sauvignon,Vini
Croatia,"Grown only in Croatia, the Zlahtina grape is light, refreshing and redolent of lemon and citrus—akin to a Sauvignon Blanc. This one has a spicy lemon nose and a blend of lemon and orange flavors that stay light on the palate. Friendly and unique, it will pair with seafood.",13.0,Hrvatsko Primorje,Toljanic 2006 Zlahtina (Hrvatsko Primorje),Zlahtina,Toljanic
Croatia,"From the island of Hvar, this wine has aromas of Chinese tea and cranberry juice. There's also a pleasant feral note in the complex bouquet. It has flavors of cranberry juice and black cherry tart with grippy tannins and a persistent finish.",27.0,Hvar,Carić 2008 Plovac Polški Plavac Mali (Hvar),Plavac Mali,Carić
Croatia,"High-toned apples and pears and a grassy, herbal note scent this unique blend of Croatian and international grape varieties. Deep gold in color, it's a savory wine with a bruised apple palate, but an interesting pick for everyday.",19.0,North Dalmatia,Bibich 2008 Riserva R5 White (North Dalmatia),White Blend,Bibich
Bulgaria,"A curious bouquet of lemongrass, pine needles and green florals, this Bulgarian Traminer boasts pretty floral scents and flavors accented with notes of apple and lemon. The dry, medium-bodied palate is a bit dusty, however, with an abrasive acidity on the finish.",10.0,Bulgaria,Targovishte 2009 Traminer (Bulgaria),Traminer,Targovishte
Slovenia,"While savory and smoky on the nose with subdued aromas of apple and pineapple, this dry yet fruity Furmint from Slovenia offers a host of bright tropical flavors. Full bodied with a bracingly high acidity that's a tad off-balance, it's a refreshing wine for everyday.",20.0,Štajerska,Verus Vineyards 2009 Furmint (Štajerska),Furmint,Verus Vineyards
Croatia,"Juicy red plums and cherries, vanilla and smoke are pleasant on the nose and palate of this Bordeaux-style red from Istria, but gain freshness and verve from layers of bramble, menthol and fresh herbs. Full bodied with exceptionally integrated tannins that are soft and round, it's a big surprise at $13.",13.0,Istria,Istravino 2008 De Mar Cuvée Zenon Red (Istria),Bordeaux-style Red Blend,Istravino
Czech Republic,"Known in other regions as Blaufränkisch, Frankovka is widely grown in the Czech Republic and Slovakia. This wine is garnet in the glass, with aromas of black cherry, cherry cola, and black plum. Flavors of black cherry and anise linger on the palate right through the spicy finish.",24.0,Moravia,Vino z Czech 2012 Hrabal Frankovka (Moravia),Frankovka,Vino z Czech
Slovenia,"This opens with aromas of sour cherry and red raspberry. In the mouth, there are pleasant flavors of tart cherry and red raspberry leading up to an astringent yet balanced finish.",12.0,Dolenjska,Zajc 2012 Cvicek PTP Red (Dolenjska),Red Blend,Zajc
Macedonia,"This Chardonnay has an appealing nose that's both fruity and toasty, with complex, lush flavors of Chardonnay fruit, vanilla and toasted wood. A spirited but elegant wine that will pair well with poultry, cheeses or richer fish.",15.0,Tikves,Bovin 2008 Chardonnay (Tikves),Chardonnay,Bovin
Slovenia,"This blend of 40% Ribolla Gialla, 30% Chardonnay and 30% Sauvignonasse has aromas of freshly cut grass, lemon grass and white peach. It is clean and bright in the mouth with flavors of peach, apple, pear and apricot.",15.0,Goriska Brda,Colliano 2013 Cuvée White (Goriska Brda),White Blend,Colliano
Slovenia,"This Chardonnay brings scents of pear juice, apple and a light whiff of mint. It is smooth on entry with flavors of caramelized pineapple and golden apple. It has good balance and a clean finish.",29.0,Goriska Brda,Bagueri 2011 Chardonnay (Goriska Brda),Chardonnay,Bagueri
Bulgaria,"This refreshing Chardonnay—with aromas of grapefruit and lemon and flavors of zesty grapefruit and lemon zest—is anchored by a weight that gives it balance. Overall, the wine finds a great middle ground and is food friendly.",8.0,Bulgaria,Targovishte 2006 Chardonnay (Bulgaria),Chardonnay,Targovishte
Bulgaria,"Well priced and friendly, this Muskat has the honeyed, floral character of a traditional muscat, but also a lemony wave that overrides the rest. The citrus mutes the prettier character here, but overall, it's a good, exotic sip at a great price.",9.0,Bulgaria,Targovishte 2006 Muskat Ottonel (Bulgaria),Muskat Ottonel,Targovishte
Bulgaria,"Pale straw colored, with aromas of white flower, lemon blossom and vanilla caramel, this fills your mouth with flavors of caramelized apple tart and finishes with crisp, clean acidity and a splash of lemon zest at the back of the palate.",9.0,Thracian Valley,Vini 2012 Veni Vidi Vici Sauvignon Blanc (Thracian Valley),Sauvignon Blanc,Vini
Slovenia,"The color of light straw, this wine offers a clean aroma of ripe pineapple. It is soft in the mouth, with a flavor of slightly tart lemon curd and a hint of lemon blossom.",13.0,Štajerska,Puklavec & Friends 2013 Pinot Grigio (Štajerska),Pinot Grigio,Puklavec & Friends
Slovenia,"Pale straw in color with a faint touch of green, this wine has a nose of lemon blossom and freshly cut grass. Crisp, clean flavors of apple and lemon zest wash over the tongue, culminating in a burst of fresh acidity.",13.0,Štajerska,Puklavec & Friends 2013 Sauvignon Blanc (Štajerska),Sauvignon Blanc,Puklavec & Friends
Slovenia,"A blend of Sauvignon Blanc and Pinot Grigio, this wine features an intriguing nose of lemon grass. Flavors of pineapple and Golden Delicious apple mingle on the round palate.",11.0,Štajerska,Puklavec & Friends 2013 White (Štajerska),White Blend,Puklavec & Friends
Bulgaria,"Black cherry, red raspberry, dried violets and graphite scent this Thracian Valley Syrah. It is full bodied, tasting of blueberry preserves, black cherry and espresso beans. The tannins are soft and round and lead to an elegant finish.",28.0,Thracian Valley,Castra Rubra 2013 Nimbus Premium Syrah (Thracian Valley),Syrah,Castra Rubra
Slovenia,"Intensely green and herbal on the nose, this has penetrating flavors of gooseberry, lavender, mint and grass. This Sauvignon Blanc, which was aged for two years in French barrique, is textural, with its hints of green-tea-like tannin.",30.0,Brda,Movia 2010 Sauvignon (Brda),Sauvignon,Movia
Slovenia,"Medium to dark pink in color, this semi-dry rosé has aromas of rose petals, freshly picked cherries and cherry blossoms. It has just the right touch of sweetness and flavors of early summer strawberries and dried rose hips. In the mouth it shows roundness and the finish shines with pronounced astringency.",23.0,Vipavska Dolina,Batič 2012 Semi-Dry Rosé (Vipavska Dolina),Rosé,Batič
Slovenia,"Garnet in color with aromas of black cherry and cranberry juice, it has a strong acidic backbone with flavors of black cherry and red plums. A bit linear yet pleasant in the mouth, this wine would stand up to your spiciest stew.",18.0,Štajerska,Sanctum 2011 Pinot Noir (Štajerska),Pinot Noir,Sanctum
Croatia,"This 100% Teran from Istria has aromas of blueberry, cherry, vanilla and a touch of dried Mediterranean herbs. It's full bodied in the mouth with flavors of black cherry, blueberry and tobacco leaf. The tannins are soft and rounded with a elegant finish.",33.0,Istria,Trapan 2013 Terra Mare Teran (Istria),Teran,Trapan
Serbia,"A blend of 60% Prokupac and 40% Cabernet Sauvignon this Serbian wine smells of red cherry and blackberry. It is full bodied, while tasting of black cherry and blackberry. The finish is fruit filled with a touch of leather.",40.0,Župa,Budimir 2009 Sub Rosa Red (Župa),Red Blend,Budimir
Bulgaria,"White flowers, dried lavender and vanilla bean scent this wine. Pleasantly acidic on entry, it tastes of lemon curd, pineapple juice and white peaches. The finish is zesty and long lasting.",12.0,Thracian Valley,K Cellars 2014 Chardonnay (Thracian Valley),Chardonnay,K Cellars
Bulgaria,"Garnet to the eye, this wine has a zippy nose of cherry and cranberry. Flavors of pomegranate, cranberry and tart cherry are nestled into well-structured tannins that seem to dissolve in the palate as the bright finish takes hold.",11.0,Thracian Valley,Bulgariana 2012 Merlot (Thracian Valley),Merlot,Bulgariana
Bulgaria,"The color of light straw, this wine has fragrances of white flowers and citrus blossoms. Quite linear in the mouth, it offers pure flavors of green apple and ripe summer peach with a touch of lemon zest that makes its presence known on the zippy finish.",11.0,Thracian Valley,Bulgariana 2013 Chardonnay (Thracian Valley),Chardonnay,Bulgariana
Croatia,"Aromas of grapefruit, lemon zest and white peach lead the way to flavors of apple and peach. There's a nice level of minerality and a crisp finish.",25.0,Korčula,Toreta 2015 Premium Posip (Korčula),Posip,Toreta
Slovenia,"This Slovenian sparkling wine is made from 100% Ribolla Gialla in the Charmat method. It has aromas of green apple, brioche, toast and hazelnut. In the mouth, the bubbles are pleasant and prepare your palate for flavors of apple, hazelnut and toasted almond.",17.0,Primorska,Colliano 2012 Peneca Rebula Brut Ribolla Gialla (Primorska),Ribolla Gialla,Colliano
Bulgaria,"An engaging bouquet of green apple, peach and white flowers brace the palate for flavors of white peach and apricot with a hint of rose petal. This wine is clean in the mouth with an invigorating finish.",14.0,Danube River Plains,Chateau Burgozone 2014 Viognier (Danube River Plains),Viognier,Chateau Burgozone
Slovenia,"Light straw in the glass, this wine offers green herbal aromas on the nose, complemented by floral notes and a whiff of sandalwood. Its green apple flavors and strong minerality make for an enjoyable quaff.",12.0,Primorska,Giocato 2014 Pinot Grigio (Primorska),Pinot Grigio,Giocato
Slovenia,"This wine has a nose of lemon peel, lemon grass, and a freshly cut lawn. It is clean in the mouth, with flavors of lemon, lime and Seckle pear that wind down to a mineral-laden finish.",12.0,Primorska,Giocato 2014 Sauvignon Blanc (Primorska),Sauvignon Blanc,Giocato
Bulgaria,"A complex nose of cherry, leather, anise and tobacco leaf set the scene for flavors of ripe cherry and fresh raspberry with notes of vanilla and spice. Despite the depth of aroma, this wine is medium bodied in the mouth and culminates in a fresh finish.",16.0,Thracian Valley,Quadratus 2011 Cabernet Franc (Thracian Valley),Cabernet Franc,Quadratus
Bulgaria,Aromas of toasted hazelnut and citrus pith lead the way to flavors of apple and pear. It's direct but clean.,19.0,Thracian Valley,Ivo Varbanov 2013 Clare de Lune Chardonnay (Thracian Valley),Chardonnay,Ivo Varbanov
Bulgaria,"This white blend of 50% Chardonnay, 30% Sauvignon Blanc and 20% Sémillon has aromas of citrus blossom, vanilla bean and lemongrass. In the mouth it has flavors of lemon curd, lemon-lime zest and mango. The finish is clean with a savory note of dried herbs in the post palate.",19.0,Thracian Valley,Logodaj 2015 Bijoux White (Thracian Valley),White Blend,Logodaj
Bulgaria,"A blend of 70% Merlot and 30% Syrah this garnet-colored wine has aromas of bright cherry, blackberry and dried oregano. In the mouth, there are flavors of cherry and dried Mediterranean herbs. The tannins are pleasantly astringent and the finish is persistent.",18.0,Thracian Valley,Bratanov 2013 South Sakar Selection Merlot-Syrah (Thracian Valley),Merlot-Syrah,Bratanov
Bulgaria,"This straw-colored wine is made from 100% Tamianka, which translates from ancient Bulgarian to “frankincense.” It is highly perfumed with aromas of jasmine blossoms, honeysuckle and citrus flowers. In the mouth there are flavors of grapefruit pith and lemon zest. The finish is clean, zesty and slightly floral.",20.0,Thracian Valley,Bratanov 2015 Single Vineyard Tamianka (Thracian Valley),Tamianka,Bratanov
Croatia,"Purplish garnet in color, it has aromas of black fruits and just a whiff of menthol. It is refreshing and fruit forward on the palate with a hint of eucalyptus in the finish.",25.0,Istria,Piquentum 2011 Rouge Teran (Istria),Teran,Piquentum
Croatia,"Dried tobacco leaf, fresh red cherry and a touch of saddle leather adds interest to the fruity flavors of Babic. Medium bodied, with an exciting astringent finish.",60.0,North Dalmatia,Suha Punta 2009 Gracin Babić (North Dalmatia),Babić,Suha Punta
Croatia,"This red blend of 34% Babic, 33% Plavina and 33% Lasin has delightful aromas of tart cherry pie fresh out of the oven. There's lots of bright fruit and fresh acidity in the finish.",20.0,North Dalmatia,Bibich 2010 Riserva R6 Red (North Dalmatia),Red Blend,Bibich
Slovenia,"This orange-style wine is dark straw in color and has jasmine and vanilla tones on the nose, while flavors of canned apricots and fresh peaches drive the palate. There's a soft and sensuous finish, due to the 18 month barrels aging.",23.0,Kras,Štoka 2011 Grganja Vitovska (Kras),Vitovska,Štoka
Slovenia,"A mix of bright red cherry, blueberry, thyme, and rosemary bring nuance to the nose. It's full bodied on the palate, with flavors of black cherry and black plum. A touch of salty minerality brings flair to the finish.",23.0,Kras,Štoka 2011 Izbrani Teran (Kras),Teran,Štoka
Serbia,"Made from 60% Prokupac and 40% Cabernet Sauvignon, this Serbian red blend has warm aromas of brown spices, worn saddle leather, black pepper and red fruits. It's bold on the palate, with flavors of cranberry, spice and pomegranate.",42.0,Župa,Budimir 2007 Svb Rosa Red (Župa),Red Blend,Budimir
Croatia,"Grown in the mineral rich red soils of Istria, it has enticing aromas of fresh black raspberry, black cherry and black plum. Rich and full-bodied in the mouth, flavors recall fresh plums and ripe cranberries.",45.0,Istria,Coronica 2008 Gran Teran (Istria),Teran,Coronica
Croatia,"Savory apple and lemon notes are bright and brisk on this pleasant Croatian white wine. Hints of sweet corn and vanilla custard add richness to a delicately structured palate, along with a crisp lime acidity that adds zip to the finish.",29.0,Istria,Saints Hills 2010 Nevina Vinograd Sv Ante White (Istria),White Blend,Saints Hills
